id,species,sepal_length,sepal_width,petal_length,petal_width,Anomaly,Anomaly_Score
121,Iris-virginica,6.9,3.2,5.7,2.3,0,3.240370260910858
122,Iris-virginica,5.6,2.8,4.9,2.0,0,3.333166559497829
123,Iris-virginica,7.7,2.8,6.7,2.0,0,3.1527765268630557
124,Iris-virginica,6.3,2.7,4.9,1.8,0,3.0049958466106297
125,Iris-virginica,6.7,3.3,5.7,2.1,0,3.1906111280717124
126,Iris-virginica,7.2,3.2,6.0,1.8,0,3.1527765268630557
127,Iris-virginica,6.2,2.8,4.8,1.8,0,3.0049958466106297
128,Iris-virginica,6.1,3.0,4.9,1.8,0,3.1906111280717124
129,Iris-virginica,6.4,2.8,5.6,2.1,0,3.1701734441847327
130,Iris-virginica,7.2,3.0,5.8,1.6,0,3.1749015267187626
131,Iris-virginica,7.4,2.8,6.1,1.9,0,3.3719430260783136
132,Iris-virginica,7.9,3.8,6.4,2.0,0,3.591657039042333
133,Iris-virginica,6.4,2.8,5.6,2.2,0,3.1749015267187626
134,Iris-virginica,6.3,2.8,5.1,1.5,0,3.2280025314926233
135,Iris-virginica,6.1,2.6,5.6,1.4,0,3.0838288013918658
136,Iris-virginica,7.7,3.0,6.1,2.3,0,3.315116778657145
137,Iris-virginica,6.3,3.4,5.6,2.4,0,3.095157514270815
138,Iris-virginica,6.4,3.1,5.5,1.8,0,3.075711296745295
139,Iris-virginica,6.0,3.0,4.8,1.8,0,3.1874754871099187
140,Iris-virginica,6.9,3.1,5.4,2.1,0,3.095157514270815
141,Iris-virginica,6.7,3.1,5.6,2.4,0,3.0199338151614423
142,Iris-virginica,6.9,3.1,5.1,2.3,0,3.0789608698629265
143,Iris-virginica,5.8,2.7,5.1,1.9,0,3.1733262118158367
144,Iris-virginica,6.8,3.2,5.9,2.3,0,3.0199338151614423
145,Iris-virginica,6.7,3.3,5.7,2.5,0,3.0789608698629265
146,Iris-virginica,6.7,3.0,5.2,2.3,0,3.074085260810922
147,Iris-virginica,6.3,2.5,5.0,1.9,0,3.0708305166499907
148,Iris-virginica,6.5,3.0,5.2,2.0,0,3.1032241129341376
149,Iris-virginica,6.2,3.4,5.4,2.3,1,4.048456480687725
