id,species,sepal_length,sepal_width,petal_length,petal_width,Anomaly,Anomaly_Score
88,Iris-versicolor,6.3,2.3,4.4,1.3,0,-0.03750200190750626
89,Iris-versicolor,5.6,3.0,4.1,1.3,0,-0.05692365294578385
90,Iris-versicolor,5.5,2.5,4.0,1.3,0,-0.09644171670615717
91,Iris-versicolor,5.5,2.6,4.4,1.2,0,-0.09592245888708442
92,Iris-versicolor,6.1,3.0,4.6,1.4,0,-0.03495310261337473
93,Iris-versicolor,5.8,2.6,4.0,1.2,0,-0.06147553763085158
94,Iris-versicolor,5.0,2.3,3.3,1.0,0,-0.013865304335081116
95,Iris-versicolor,5.6,2.7,4.2,1.3,0,-0.08775031742537773
96,Iris-versicolor,5.7,3.0,4.2,1.2,0,-0.15000711164443642
97,Iris-versicolor,5.7,2.9,4.2,1.3,0,-0.1270622301845214
98,Iris-versicolor,6.2,2.9,4.3,1.3,0,-0.04770562153129655
99,Iris-versicolor,5.1,2.5,3.0,1.1,1,-0.006291893856975458
100,Iris-versicolor,5.7,2.8,4.1,1.3,0,-0.014117671693528464
101,Iris-virginica,6.3,3.3,6.0,2.5,0,-0.006827843873421143
102,Iris-virginica,5.8,2.7,5.1,1.9,0,-0.013584550757566888
103,Iris-virginica,7.1,3.0,5.9,2.1,0,-0.025492630716848718
104,Iris-virginica,6.3,2.9,5.6,1.8,0,-0.0470772127525591
105,Iris-virginica,6.5,3.0,5.8,2.2,0,-0.03690294297459822
106,Iris-virginica,7.6,3.0,6.6,2.1,0,-0.01563893933139961
108,Iris-virginica,7.3,2.9,6.3,1.8,0,-0.02246750432570368
109,Iris-virginica,6.7,2.5,5.8,1.8,0,-0.0174267083608932
110,Iris-virginica,7.2,3.6,6.1,2.5,0,-0.015055053904836252
111,Iris-virginica,6.5,3.2,5.1,2.0,0,-0.04639774224918534
112,Iris-virginica,6.4,2.7,5.3,1.9,0,-0.06436145074959926
113,Iris-virginica,6.8,3.0,5.5,2.1,0,-0.04048767469259475
114,Iris-virginica,5.7,2.5,5.0,2.0,0,-0.04505289331109286
115,Iris-virginica,5.8,2.8,5.1,2.4,0,-0.07624990884542297
116,Iris-virginica,6.4,3.2,5.3,2.3,0,-0.06487853101237966
117,Iris-virginica,6.5,3.0,5.5,1.8,0,-0.034312478995884174
118,Iris-virginica,7.7,3.8,6.7,2.2,1,-0.005360607708903203
119,Iris-virginica,7.7,2.6,6.9,2.3,1,-0.005204261179042024
120,Iris-virginica,6.0,2.2,5.0,1.5,1,-0.006079819680054236
121,Iris-virginica,6.9,3.2,5.7,2.3,0,-0.008862072561719978
122,Iris-virginica,5.6,2.8,4.9,2.0,0,-0.010092665451856121
124,Iris-virginica,6.3,2.7,4.9,1.8,0,-0.01977765841737996
125,Iris-virginica,6.7,3.3,5.7,2.1,0,-0.030697687299163022
126,Iris-virginica,7.2,3.2,6.0,1.8,0,-0.020006599465184745
127,Iris-virginica,6.2,2.8,4.8,1.8,0,-0.051248976534842824
128,Iris-virginica,6.1,3.0,4.9,1.8,0,-0.06718329060410433
129,Iris-virginica,6.4,2.8,5.6,2.1,0,-0.052990566926443085
130,Iris-virginica,7.2,3.0,5.8,1.6,0,-0.059176492010202954
131,Iris-virginica,7.4,2.8,6.1,1.9,0,-0.03992529718944492
132,Iris-virginica,7.9,3.8,6.4,2.0,0,-0.0074223255129217125
133,Iris-virginica,6.4,2.8,5.6,2.2,0,-0.029369446384964183
134,Iris-virginica,6.3,2.8,5.1,1.5,0,-0.03041116721007916
135,Iris-virginica,6.1,2.6,5.6,1.4,0,-0.029363219214278945
136,Iris-virginica,7.7,3.0,6.1,2.3,1,-0.006185337357606671
137,Iris-virginica,6.3,3.4,5.6,2.4,0,-0.027915321351736345
138,Iris-virginica,6.4,3.1,5.5,1.8,0,-0.055738738455267875
139,Iris-virginica,6.0,3.0,4.8,1.8,0,-0.027366146644343232
140,Iris-virginica,6.9,3.1,5.4,2.1,0,-0.07150577392877196
141,Iris-virginica,6.7,3.1,5.6,2.4,0,-0.0791470804572104
142,Iris-virginica,6.9,3.1,5.1,2.3,0,-0.04802228377775146
143,Iris-virginica,5.8,2.7,5.1,1.9,0,-0.013850046246239502
144,Iris-virginica,6.8,3.2,5.9,2.3,0,-0.05701465608643105
145,Iris-virginica,6.7,3.3,5.7,2.5,0,-0.09293368947343962
146,Iris-virginica,6.7,3.0,5.2,2.3,0,-0.09567205211906633
147,Iris-virginica,6.3,2.5,5.0,1.9,0,-0.051227775108593575
148,Iris-virginica,6.5,3.0,5.2,2.0,0,-0.09976488037496115
149,Iris-virginica,6.2,3.4,5.4,2.3,0,-0.04583510999237187
150,Iris-virginica,5.9,3.0,5.1,1.8,1,-0.006175759531897943
